index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
98,Varzim,Academico de Viseu,40211,classic,Segunda Liga,12,Portugal,lost,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.422, 'X': 3.005, '2': 2.862, '1X': 1.372, 'X2': 1.507, '12': 1.323}"
99,Gernika Club,Arenas Club de Getxo,40136,classic,Segunda Division B Group 2,1X,Spain,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T17:30:00,2018-12-01T09:16:17.282000,"{'1': 2.443, 'X': 2.815, '2': 2.912, '1X': 1.335, 'X2': 1.457, '12': 1.345}"
100,Academica Coimbra,Arouca,40209,classic,Segunda Liga,12,Portugal,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.165, 'X': 3.03, '2': 3.317, '1X': 1.285, 'X2': 1.625, '12': 1.312}"
101,Recreativo Huelva,Sevilla Atletico,40141,classic,Segunda Division B Group 4,1,Spain,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T16:00:00,2018-12-01T09:16:17.282000,"{'1': 1.793, 'X': 3.213, '2': 4.193, '1X': 1.18, 'X2': 1.83, '12': 1.275}"
102,Cittadella,Salernitana,40114,classic,Serie B,1X,Italy,won,UEFA,TRUE,2018 - 2019,03-Jan,2018-12-01T14:00:00,2018-12-01T09:16:17.282000,"{'1': 1.964, 'X': 3.076, '2': 4.031, '1X': 1.213, 'X2': 1.76, '12': 1.32}"
103,Rad Belgrade,Vojvodina Novi Sad,40236,classic,SuperLiga,12,Serbia,won,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 2.892, 'X': 3.032, '2': 2.258, '1X': 1.532, 'X2': 1.34, '12': 1.31}"
104,Sudtirol,Pordenone,40120,classic,Serie C,12,Italy,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T13:30:00,2018-12-01T09:16:17.282000,"{'1': 2.435, 'X': 2.925, '2': 2.87, '1X': 1.36, 'X2': 1.477, '12': 1.332}"
105,Leioa,Izarra,40135,classic,Segunda Division B Group 2,1,Spain,lost,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T16:00:00,2018-12-01T09:16:17.282000,"{'1': 1.64, 'X': 3.475, '2': 4.727, '1X': 1.143, 'X2': 1.997, '12': 1.245}"
106,Derby County,Swansea,40066,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.917, 'X': 3.45, '2': 4.238, '1X': 1.212, 'X2': 1.865, '12': 1.287}"
107,NK Aluminij Kidricevo,Olimpija Ljubljana,40246,classic,1. SNL,2,Slovenia,lost,UEFA,TRUE,2018 - 2019,06-Feb,2018-12-01T12:30:00,2018-12-01T09:16:17.282000,"{'1': 4.825, 'X': 3.927, '2': 1.55, '1X': 2.225, 'X2': 1.148, '12': 1.195}"
108,Arbroath,Stenhousemuir,40225,classic,League One,1,Scotland,won,UEFA,TRUE,2018 - 2019,05-Feb,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.289, 'X': 5.133, '2': 8.254, '1X': 1.05, 'X2': 3.247, '12': 1.114}"
109,Peterhead,Annan Athletic,40233,classic,League Two,1,Scotland,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.502, 'X': 3.94, '2': 5.753, '1X': 1.11, 'X2': 2.353, '12': 1.203}"
